epoch,kl_loss,loss,xent_loss
0,2.1876e-04,0.0234,0.0232
1,1.5822e-04,0.0120,0.0118
2,1.7712e-04,0.0100,0.0098
3,1.9008e-04,0.0087,0.0085
4,1.9040e-04,0.0077,0.0075
5,1.8834e-04,0.0071,0.0069
6,1.8765e-04,0.0066,0.0064
7,1.8770e-04,0.0062,0.0060
8,1.8654e-04,0.0058,0.0057
9,1.8529e-04,0.0055,0.0054
10,1.7971e-04,0.0052,0.0051
11,1.8249e-04,0.0050,0.0049
12,1.7955e-04,0.0048,0.0046
13,1.7828e-04,0.0046,0.0044
14,1.7913e-04,0.0045,0.0043
15,1.7447e-04,0.0043,0.0041
16,1.7599e-04,0.0042,0.0040
17,1.7397e-04,0.0040,0.0038
18,1.7093e-04,0.0039,0.0037
19,1.6702e-04,0.0037,0.0036
20,1.6954e-04,0.0037,0.0035
21,1.6618e-04,0.0035,0.0034
22,1.6459e-04,0.0035,0.0033
23,1.6238e-04,0.0034,0.0032
24,1.5879e-04,0.0032,0.0031
25,1.5563e-04,0.0031,0.0030
26,1.5572e-04,0.0031,0.0029
27,1.5654e-04,0.0030,0.0029
28,1.5177e-04,0.0029,0.0028
29,1.5135e-04,0.0029,0.0027
30,1.4861e-04,0.0028,0.0026
31,1.4863e-04,0.0027,0.0026
32,1.4488e-04,0.0027,0.0025
33,1.4452e-04,0.0026,0.0025
34,1.4292e-04,0.0026,0.0025
35,1.3946e-04,0.0025,0.0024
36,1.3812e-04,0.0024,0.0023
37,1.3781e-04,0.0024,0.0023
38,1.3538e-04,0.0023,0.0022
39,1.3512e-04,0.0023,0.0022
